"FieldID","Crop","Management","SoilN","SoilP","OrgMatter","Moisture","NDVI"
"F166","Corn","CoverCrop",22.3,23.3,2.44,14.7,0.9
"F167","Soybean","Conventional",28.2,32.9,3.24,18.7,0.792
"F168","Corn","Conventional",9.8,12.9,2.09,19.9,0.724
"F169","Corn","Conventional",15.5,15.9,2.32,20.4,0.886
"F170","Corn","Conventional",9.2,9.4,1.68,17.9,0.808
"F171","Wheat","Conventional",26.7,28.3,3.25,21.1,0.504
"F172","Corn","CoverCrop",19.7,24.8,3.25,18.3,0.815
"F173","Wheat","Conventional",24.3,30.6,2.3,14.6,0.438
"F174","Corn","CoverCrop",17.1,25.7,2.86,17,0.854
"F175","Corn","Conventional",20,23,2.5,13.2,0.729
"F176","Corn","Conventional",17.1,33.7,2.68,9,0.9
"F177","Corn","Conventional",33.1,46.7,3.46,16.7,0.9
"F178","Corn","CoverCrop",18.8,18.1,2.2,14.4,0.812
"F179","Corn","Conventional",18.4,20.4,2.49,17.6,0.9
"F180","Wheat","Conventional",13.9,22.1,2.39,21.3,0.567
